N,P,K,ph,label
25,75,50,6.7,turmeric
15,65,45,6.751100633419163,turmeric
22,67,55,6.2485162138402215,turmeric
25,75,50,6.7,bhindi
24,77,46,6.345184093241567,bhindi
27,76,53,6.7746537108696625,bhindi
25,75,50,6.7,bottle_gourd
35,79,59,6.729049326101215,bottle_gourd
29,80,44,7.098853385442871,bottle_gourd
25,75,50,6.7,brinjal
32,77,59,6.685478044434583,brinjal
27,68,45,7.158865845603909,brinjal
25,75,50,6.7,cabbage
19,78,42,6.613853867506438,cabbage
34,70,60,6.747938900769954,cabbage
25,75,50,6.7,citrus_fruit
29,76,43,7.1025598366793155,citrus_fruit
33,85,54,6.620868146007935,citrus_fruit
25,75,50,6.7,cucumber
26,77,45,6.722595954580567,cucumber
27,83,40,7.020720093039491,cucumber
25,75,50,6.7,mango
15,74,55,6.997473932096614,mango
25,82,58,6.275343601560534,mango
25,75,50,6.7,orange
31,75,56,6.977565888311613,orange
33,81,48,7.110637374179019,orange
25,75,50,6.7,other_fresh_fruits
33,65,41,7.064740465509106,other_fresh_fruits
22,79,59,6.6152265013012554,other_fresh_fruits
25,75,50,6.7,other_vegetables
17,80,53,6.771263146581231,other_vegetables
20,66,56,6.209913822690794,other_vegetables
25,75,50,6.7,papaya
23,83,54,7.1525524791432735,papaya
17,82,46,6.506549138698579,papaya
25,75,50,6.7,pome_fruit
25,78,55,6.808485101325686,pome_fruit
32,65,60,6.626488979638651,pome_fruit
25,75,50,6.7,tomato
22,78,45,7.098722586217288,tomato
26,77,47,7.048425190943323,tomato
25,75,50,6.7,ginger
29,85,59,6.688305469210114,ginger
23,80,47,6.7484788850733,ginger
25,75,50,6.7,sunflower
18,72,60,7.096914318713345,sunflower
19,78,47,6.523845967448113,sunflower
25,75,50,6.7,sannhamp
16,71,42,7.01492944803028,sannhamp
18,73,47,6.6915158750248604,sannhamp
25,75,50,6.7,black_pepper
32,83,41,6.727023253798669,black_pepper
21,84,51,6.71997205958893,black_pepper
50,25,25,6.6,black_pepper
51,35,23,7.053769296112052,black_pepper
49,17,29,6.557364813040888,black_pepper
75,50,50,7.4,sugarcane
71,54,56,7.635822120522144,sugarcane
67,48,48,7.210230279668634,sugarcane
75,50,50,7.4,tobacco
72,41,52,7.367007782303303,tobacco
78,51,42,7.33108737051929,tobacco
75,50,50,7.4,dry_chillies
66,46,47,7.170936780001251,dry_chillies
66,51,51,7.507237764155894,dry_chillies
75,50,50,7.4,onion
73,58,59,7.552507503605126,onion
65,59,42,7.764459507149052,onion
75,50,50,7.4,banana
71,41,48,7.2846810720642186,banana
69,40,49,6.975214198041009,banana
75,50,50,7.4,cashewnut
81,56,57,7.067514833273226,cashewnut
69,42,40,7.830080671077319,cashewnut
75,50,50,7.4,coriander
73,58,52,7.494532073122297,coriander
68,55,52,7.878992644137963,coriander
75,50,50,7.4,sweet_potato
85,41,60,7.774882725445135,sweet_potato
68,43,54,7.362023422704183,sweet_potato
75,50,50,7.4,turmeric
71,45,49,7.362588855455641,turmeric
72,45,41,6.971293617993163,turmeric
75,50,50,7.4,bhindi
74,56,52,7.813718019993569,bhindi
69,47,58,7.8454713092456085,bhindi
75,50,50,7.4,bottle_gourd
85,41,46,7.471269884751131,bottle_gourd
74,53,55,7.862750314643009,bottle_gourd
75,50,50,7.4,brinjal
71,42,50,6.9073687547558595,brinjal
80,41,40,7.730381554507833,brinjal
75,50,50,7.4,cabbage
76,43,43,7.736387986048091,cabbage
67,48,55,7.615127195461714,cabbage
75,50,50,7.4,citrus_fruit
71,60,58,7.161726478524518,citrus_fruit
82,58,41,6.950410920832253,citrus_fruit
75,50,50,7.4,cucumber
81,53,55,6.9899103719779445,cucumber
73,52,43,7.720682284246151,cucumber
75,50,50,7.4,mango
75,56,53,6.911186245109016,mango
84,59,41,6.920657230932853,mango
75,50,50,7.4,orange
70,57,60,7.59561970370059,orange
84,55,55,7.722930705702811,orange
75,50,50,7.4,other_fresh_fruits
72,56,41,7.496865336552054,other_fresh_fruits
76,58,59,7.42611491727645,other_fresh_fruits
75,50,50,7.4,other_vegetables
83,45,42,7.567373908369902,other_vegetables
70,44,60,7.868886982852963,other_vegetables
75,50,50,7.4,papaya
66,55,54,7.52388021050622,papaya
82,54,58,7.785781930334198,papaya
75,50,50,7.4,pome_fruit
76,41,53,7.488434044669961,pome_fruit
80,40,45,7.614130909912102,pome_fruit
75,50,50,7.4,tomato
83,46,50,7.005129614960344,tomato
67,41,50,7.742138926588623,tomato
75,50,50,7.4,tapioca
83,49,58,7.65486305275275,tapioca
73,42,55,7.44087624698395,tapioca
75,50,50,7.4,sunflower
70,45,40,7.716926312935691,sunflower
79,58,52,7.608512623717132,sunflower
75,50,50,7.4,sannhamp
85,43,41,7.516299993668033,sannhamp
70,45,49,7.609982731794652,sannhamp
50,75,75,7.1,sugarcane
56,73,65,6.685620273833354,sugarcane
55,65,85,6.6582894453667585,sugarcane
50,75,75,7.1,tobacco
58,71,78,7.342413933846953,tobacco
50,82,71,7.122050854365808,tobacco
50,75,75,7.1,dry_chillies
47,73,66,7.295645877063467,dry_chillies
43,79,79,6.708946911125718,dry_chillies
50,75,75,7.1,onion
41,84,83,6.6029441360964345,onion
58,80,85,6.878071800532079,onion
50,75,75,7.1,banana
40,65,73,6.667443885654558,banana
45,65,74,6.892939707071536,banana
50,75,75,7.1,cashewnut
51,65,83,7.004879124792576,cashewnut
40,76,83,7.111268812419317,cashewnut
50,75,75,7.1,coriander
47,75,74,6.7966456515190545,coriander
53,77,76,6.8651425610074455,coriander
50,75,75,7.1,sweet_potato
53,69,81,7.221846907988125,sweet_potato
49,71,74,7.0166764277396405,sweet_potato
50,75,75,7.1,turmeric
49,77,75,7.567220497670735,turmeric
46,76,85,6.685029288531546,turmeric
50,75,75,7.1,bhindi
41,77,85,6.758269353603717,bhindi
50,68,84,7.241488570325314,bhindi
50,75,75,7.1,bottle_gourd
47,70,69,6.946473414638815,bottle_gourd
46,76,81,7.319026374302924,bottle_gourd
50,75,75,7.1,brinjal
50,71,69,6.78415966555367,brinjal
51,79,84,6.947204442739431,brinjal
50,75,75,7.1,citrus_fruit
50,68,85,7.133187622024526,citrus_fruit
40,79,75,6.741336561902548,citrus_fruit
50,75,75,7.1,cucumber
51,85,74,7.278747771124345,cucumber
55,76,72,6.831949840679092,cucumber
50,75,75,7.1,mango
45,82,78,6.8294804379959535,mango
44,76,79,7.079357808132208,mango
50,75,75,7.1,orange
54,66,83,7.2313185818570735,orange
50,79,72,7.225497996225538,orange
50,75,75,7.1,other_fresh_fruits
51,78,73,7.065970881325655,other_fresh_fruits
50,77,78,6.601539547268224,other_fresh_fruits
50,75,75,7.1,other_vegetables
41,77,80,7.132533826838842,other_vegetables
57,78,76,6.985839951811157,other_vegetables
50,75,75,7.1,papaya
60,70,84,6.935607745962805,papaya
53,69,83,6.882450351504856,papaya
50,75,75,7.1,pome_fruit
46,69,72,6.692266615775213,pome_fruit
42,75,85,7.22648376444165,pome_fruit
50,75,75,7.1,tomato
49,75,70,7.426061141901744,tomato
57,65,67,6.726855208422382,tomato
50,75,75,7.1,ginger
56,70,68,6.61344679239019,ginger
55,85,79,7.3565935603057255,ginger
50,75,75,7.1,sunflower
60,80,69,7.23655622538357,sunflower
44,84,72,6.862322125261441,sunflower
50,75,75,7.1,garlic
52,72,71,6.671281312012001,garlic
44,65,78,6.836820204764072,garlic
50,75,75,7.1,potato
53,81,69,7.443429470034565,potato
45,73,67,6.661989014642637,potato
50,75,50,6.8,sugarcane
59,82,60,6.742850418638916,sugarcane
60,82,52,6.773942444235299,sugarcane
50,75,50,6.8,tobacco
54,80,53,6.373016085924749,tobacco
58,70,42,6.807725961709765,tobacco
50,75,50,6.8,dry_chillies
42,65,54,6.474802682572506,dry_chillies
48,79,43,6.3597908478291405,dry_chillies
50,75,50,6.8,onion
42,79,60,7.1417406152269,onion
48,67,49,7.02067439792991,onion
50,75,50,6.8,arecanut
58,69,49,6.57641215133756,arecanut
53,77,41,6.758505238131708,arecanut
50,75,50,6.8,banana
42,85,54,6.569632514141364,banana
60,65,59,6.557477271224496,banana
50,75,50,6.8,cashewnut
54,73,43,6.8568732748037355,cashewnut
42,69,58,6.764081051768754,cashewnut
50,75,50,6.8,ginger
50,70,59,7.000406960316063,ginger
56,67,46,7.246946299161739,ginger
50,75,50,6.8,sweet_potato
53,70,59,6.856304203059116,sweet_potato
60,77,59,6.477934183014998,sweet_potato
50,75,50,6.8,tapioca
60,79,46,6.754280362219952,tapioca
54,68,51,7.25864028107653,tapioca
50,75,50,6.8,turmeric
57,79,53,6.935121792497405,turmeric
59,83,43,6.5713777155578805,turmeric
50,75,50,6.8,coriander
51,73,46,6.924785022774014,coriander
53,66,57,6.677286232110615,coriander
50,75,50,6.8,bhindi
47,68,43,7.005827035989969,bhindi
42,81,58,7.000457112069666,bhindi
50,75,50,6.8,bottle_gourd
40,76,57,6.939546450554018,bottle_gourd
51,72,46,6.792572764717667,bottle_gourd
50,75,50,6.8,brinjal
60,80,52,6.925602698859066,brinjal
49,82,46,7.2221656460997075,brinjal
50,75,50,6.8,cabbage
60,73,47,6.492720158723992,cabbage
45,71,44,7.293011524978145,cabbage
50,75,50,6.8,citrus_fruit
49,81,56,6.408818956384754,citrus_fruit
44,83,53,6.607784979084746,citrus_fruit
50,75,50,6.8,cucumber
56,77,48,7.145825638051719,cucumber
59,84,53,6.8124085240423495,cucumber
50,75,50,6.8,mango
48,83,42,6.969156877167895,mango
48,73,41,6.611649148222526,mango
50,75,50,6.8,orange
55,67,43,7.064368296194844,orange
51,74,57,6.717385929583096,orange
50,75,50,6.8,other_fresh_fruits
49,79,57,7.2886512430435655,other_fresh_fruits
40,78,45,6.325541651459534,other_fresh_fruits
50,75,50,6.8,other_vegetables
45,77,57,6.754300282303128,other_vegetables
41,78,59,6.920779114911344,other_vegetables
50,75,50,6.8,papaya
56,70,51,6.420916951419457,papaya
58,85,50,6.705068065632448,papaya
50,75,50,6.8,peas_vegetable
60,79,56,6.894310037573593,peas_vegetable
50,79,49,6.4495544224676316,peas_vegetable
50,75,50,6.8,pome_fruit
44,81,51,6.457789558518187,pome_fruit
42,84,54,6.559295449977667,pome_fruit
50,75,50,6.8,tomato
47,79,58,6.651943912512419,tomato
43,81,43,7.072411316295432,tomato
50,75,50,6.8,sunflower
59,82,43,6.6176516299423325,sunflower
60,75,55,6.542625929185287,sunflower
75,25,50,6.3,sugarcane
68,24,56,6.483877358498225,sugarcane
69,25,43,6.761454939473584,sugarcane
75,25,50,6.3,tobacco
76,21,46,6.667008390860464,tobacco
69,16,43,6.089031299711912,tobacco
75,25,50,6.3,dry_chillies
80,15,42,6.077715618514125,dry_chillies
71,35,49,6.1703183971982245,dry_chillies
75,25,50,6.3,onion
66,35,49,6.458118211339252,onion
76,30,47,6.0647050238175595,onion
75,25,50,6.3,banana
65,25,48,6.538677738273189,banana
74,25,48,6.064696003096359,banana
75,25,50,6.3,coriander
69,22,47,5.8033577668704535,coriander
76,26,57,5.998516889303719,coriander
75,25,50,6.3,sweet_potato
69,29,55,6.478080706713042,sweet_potato
66,25,48,6.742988638337778,sweet_potato
75,25,50,6.3,turmeric
73,18,54,5.995271511786041,turmeric
78,29,45,5.97537436175596,turmeric
75,25,50,6.3,bhindi
85,32,57,6.3441254091598624,bhindi
83,15,54,6.649362210616156,bhindi
75,25,50,6.3,bottle_gourd
69,34,45,6.584903886098385,bottle_gourd
83,33,54,6.142463116464009,bottle_gourd
75,25,50,6.3,brinjal
70,19,48,5.865840249082218,brinjal
67,23,55,6.206781346130765,brinjal
75,25,50,6.3,cabbage
69,27,47,6.091104352491988,cabbage
75,30,55,6.703695341118754,cabbage
75,25,50,6.3,citrus_fruit
79,28,57,6.454865914223741,citrus_fruit
72,17,46,6.382915124193206,citrus_fruit
75,25,50,6.3,cucumber
65,31,50,6.7136277847072385,cucumber
81,22,44,6.3817136169080495,cucumber
75,25,50,6.3,mango
72,33,53,5.897928855453241,mango
83,26,55,6.356410895163203,mango
75,25,50,6.3,orange
78,29,41,5.893812896270292,orange
70,35,56,6.413691207675918,orange
75,25,50,6.3,other_fresh_fruits
69,18,45,6.795198098716261,other_fresh_fruits
75,33,51,6.6220639895272635,other_fresh_fruits
75,25,50,6.3,other_vegetables
65,34,56,6.71395620594262,other_vegetables
66,26,53,6.2626978854338535,other_vegetables
75,25,50,6.3,papaya
72,35,55,6.242711262088158,papaya
81,17,53,6.736105669937792,papaya
75,25,50,6.3,pome_fruit
74,18,48,5.819764598988103,pome_fruit
74,17,50,5.97048043314973,pome_fruit
75,25,50,6.3,potato
70,35,40,5.868606607438861,potato
80,29,60,5.86349907269507,potato
75,25,50,6.3,tomato
70,17,59,5.99128782832979,tomato
68,22,56,5.975945144027969,tomato
75,25,50,6.3,grapes
70,29,46,6.168239535679795,grapes
80,30,59,6.242018467167588,grapes
75,25,50,6.3,sunflower
67,22,44,6.716994545851027,sunflower
65,33,51,5.824926120877956,sunflower
75,25,50,6.3,ginger
79,27,56,5.837893440946357,ginger
75,23,59,6.069780887481882,ginger
75,25,50,6.3,sannhamp
79,20,48,6.305431952758303,sannhamp
82,30,46,6.4446471076643155,sannhamp
75,25,50,6.3,coconut
70,23,59,6.4522369634206616,coconut
66,16,47,5.969368240652731,coconut
50,50,50,8.4,sugarcane
40,57,56,8.630514779893382,sugarcane
43,48,47,8.568046173355695,sugarcane
50,50,50,8.4,tobacco
53,51,59,8.586927619160218,tobacco
49,50,59,7.910999519319166,tobacco
50,50,50,8.4,dry_chillies
53,42,43,8.888699004550395,dry_chillies
47,59,55,8.858913598491029,dry_chillies
50,50,50,8.4,onion
50,58,57,8.232211550634107,onion
43,60,48,8.268922754028946,onion
50,50,50,8.4,banana
45,45,45,8.331470795565863,banana
49,55,45,8.892237535760096,banana
50,50,50,8.4,cashewnut
40,58,55,7.936684400983174,cashewnut
49,48,49,8.86873814839102,cashewnut
50,50,50,8.4,coriander
46,60,47,8.503320166633857,coriander
52,45,52,8.40650820868614,coriander
50,50,50,8.4,sweet_potato
43,56,51,8.114880033825735,sweet_potato
42,52,46,8.382938262885348,sweet_potato
50,50,50,8.4,turmeric
53,58,57,7.9472411179943965,turmeric
56,60,55,8.869961581062123,turmeric
50,50,50,8.4,bhindi
45,49,55,8.861692218870008,bhindi
59,58,46,7.971204328680059,bhindi
50,50,50,8.4,bottle_gourd
45,42,52,8.18960223114544,bottle_gourd
58,53,59,8.141761559664625,bottle_gourd
50,50,50,8.4,brinjal
47,40,47,8.590797717809101,brinjal
58,46,44,8.254909093955007,brinjal
50,50,50,8.4,citrus_fruit
58,53,45,8.749046272080223,citrus_fruit
53,56,50,8.023498325765372,citrus_fruit
50,50,50,8.4,cucumber
53,51,44,8.001615159903295,cucumber
60,59,45,8.531436230765763,cucumber
50,50,50,8.4,mango
55,45,45,8.192666831389362,mango
44,47,60,8.839320614796904,mango
50,50,50,8.4,orange
57,41,53,8.288555003543578,orange
41,60,40,8.319538010078709,orange
50,50,50,8.4,other_fresh_fruits
60,46,53,8.489287053309086,other_fresh_fruits
52,40,60,8.150287985048356,other_fresh_fruits
50,50,50,8.4,other_vegetables
53,57,58,8.79647821980288,other_vegetables
59,57,55,8.707697501876181,other_vegetables
50,50,50,8.4,papaya
40,54,60,8.146225459712138,papaya
59,60,52,8.622777774448359,papaya
50,50,50,8.4,pome_fruit
48,43,45,7.993080147709998,pome_fruit
56,60,58,8.871162055535702,pome_fruit
50,50,50,8.4,tomato
43,60,46,8.452801671446412,tomato
54,43,46,8.705871076241296,tomato
50,50,50,8.4,cabbage
60,43,59,8.862598038648747,cabbage
50,42,47,8.668623805804225,cabbage
50,50,50,8.4,sunflower
53,43,44,8.802526473741942,sunflower
56,46,48,8.642140917074679,sunflower
50,50,50,8.4,sannhamp
55,44,53,7.9836186418117325,sannhamp
47,51,40,8.855564533841182,sannhamp
50,25,50,6.5,sugarcane
42,35,42,6.5759986681927,sugarcane
47,29,49,6.644536728023413,sugarcane
50,25,50,6.5,tobacco
58,23,60,6.303970974243124,tobacco
55,32,55,6.1218792554922725,tobacco
50,25,50,6.5,dry_chillies
47,34,42,6.949596784176021,dry_chillies
54,32,45,6.845438606106591,dry_chillies
50,25,50,6.5,onion
53,16,54,6.1344645770049055,onion
57,26,42,6.714743595095383,onion
50,25,50,6.5,banana
46,29,53,6.426166225848051,banana
54,34,56,6.244328327960202,banana
50,25,50,6.5,cashewnut
47,26,60,6.201721130269437,cashewnut
51,33,47,6.961739074108951,cashewnut
50,25,50,6.5,coriander
44,18,51,6.020513538755037,coriander
48,19,53,6.608960199302203,coriander
50,25,50,6.5,sweet_potato
50,15,47,6.847291085540737,sweet_potato
44,17,46,6.748808493826699,sweet_potato
50,25,50,6.5,tapioca
52,24,57,6.678547644702707,tapioca
56,34,42,6.45789659618284,tapioca
50,25,50,6.5,turmeric
48,34,43,6.68031853182304,turmeric
51,25,50,6.717949874039368,turmeric
50,25,50,6.5,bhindi
42,24,43,6.138653266298965,bhindi
46,27,57,6.678312249254683,bhindi
50,25,50,6.5,bottle_gourd
44,28,54,6.0359690510054,bottle_gourd
42,21,53,6.565412167618846,bottle_gourd
50,25,50,6.5,brinjal
59,33,56,6.58739566969164,brinjal
48,17,59,6.785933078225946,brinjal
50,25,50,6.5,citrus_fruit
47,27,44,6.850333109383151,citrus_fruit
56,22,45,6.815700365156695,citrus_fruit
50,25,50,6.5,cucumber
49,27,41,6.49196781847994,cucumber
50,26,45,6.098367212793926,cucumber
50,25,50,6.5,mango
47,25,45,6.5124066742071385,mango
44,22,41,6.05222273574624,mango
50,25,50,6.5,orange
48,21,44,6.314934651760008,orange
57,35,60,6.532183937210911,orange
50,25,50,6.5,other_fresh_fruits
55,30,43,6.12531813204791,other_fresh_fruits
51,24,60,6.116730726149126,other_fresh_fruits
50,25,50,6.5,other_vegetables
44,23,58,6.640331237656824,other_vegetables
47,15,44,6.775058094055188,other_vegetables
50,25,50,6.5,papaya
58,25,55,6.497262623126962,papaya
51,31,46,6.304647114479235,papaya
50,25,50,6.5,peas_vegetable
46,21,45,6.251261130378753,peas_vegetable
44,26,57,6.281736933386799,peas_vegetable
50,25,50,6.5,pome_fruit
50,32,48,6.302540733072207,pome_fruit
46,33,54,6.3571454998209305,pome_fruit
50,25,50,6.5,tomato
53,32,42,6.808070329088366,tomato
48,18,43,6.854824853725154,tomato
50,25,50,6.5,sunflower
45,18,46,6.023759596546404,sunflower
48,24,44,6.226346814493231,sunflower
75,50,50,5.5,sugarcane
84,50,51,5.155238560820714,sugarcane
81,43,60,5.763249526919149,sugarcane
75,50,50,5.5,dry_chillies
79,52,41,5.00971518095054,dry_chillies
78,50,47,5.245113606819763,dry_chillies
75,50,50,5.5,onion
78,44,54,5.459631165157702,onion
84,50,55,5.55174907132672,onion
75,50,50,5.5,banana
83,44,51,5.1809216032637195,banana
84,54,45,5.770209426402156,banana
75,50,50,5.5,cashewnut
66,60,46,5.000193089085971,cashewnut
72,58,42,5.417063063305998,cashewnut
75,50,50,5.5,ginger
71,60,52,5.184342399964482,ginger
80,48,42,5.174675308057732,ginger
75,50,50,5.5,potato
69,51,40,5.509735342408591,potato
68,60,50,5.064896214531458,potato
75,50,50,5.5,sweet_potato
70,41,48,5.172560215220075,sweet_potato
68,56,46,5.827980432159718,sweet_potato
75,50,50,5.5,tapioca
74,45,57,5.317027570793343,tapioca
80,47,45,5.532435766888809,tapioca
75,50,50,5.5,tobacco
75,46,49,5.381395656521148,tobacco
75,44,45,5.258332197054255,tobacco
75,50,50,5.5,turmeric
72,46,58,5.827567200540848,turmeric
76,59,48,5.6327955706183905,turmeric
75,50,50,5.5,bhindi
67,46,47,5.384318631848837,bhindi
84,43,53,5.8415704165757,bhindi
75,50,50,5.5,bottle_gourd
74,45,50,5.046262306183131,bottle_gourd
68,50,51,5.81049753868872,bottle_gourd
75,50,50,5.5,brinjal
