State,District,Year,Crop,Area_Hectare,Production_Tonnes,Yield_Tonnes_per_Hectare
Andaman and Nicobar Islands,Nicobars,2005.0,Black_pepper,41.0,0.1,0.0
Andaman and Nicobar Islands,Nicobars,2005.0,Cashewnut,450.0,55.8,0.12
Andaman and Nicobar Islands,Nicobars,2005.0,Dry_chillies,17.0,,0.0
Andaman and Nicobar Islands,Nicobars,2005.0,Turmeric,10.0,70.0,7.0
Andaman and Nicobar Islands,Nicobars,2006.0,Arecanut,896.0,477.6,0.53
Andaman and Nicobar Islands,Nicobars,2006.0,Banana,198.0,976.0,4.93
Andaman and Nicobar Islands,Nicobars,2006.0,Black_pepper,22.16,0.68,0.03
Andaman and Nicobar Islands,Nicobars,2006.0,Cashewnut,450.0,85.13,0.19
Andaman and Nicobar Islands,Nicobars,2006.0,Dry_chillies,3.0,9.0,3.0
Andaman and Nicobar Islands,Nicobars,2006.0,Ginger,6.0,21.0,3.5
Andaman and Nicobar Islands,Nicobars,2006.0,Sugarcane,0.2,0.5,2.5
Andaman and Nicobar Islands,Nicobars,2006.0,Sweet_potato,18.0,86.0,4.78
Andaman and Nicobar Islands,Nicobars,2006.0,Tapioca,52.03,450.0,8.65
Andaman and Nicobar Islands,Nicobars,2006.0,Turmeric,2.5,1.03,0.41
Andaman and Nicobar Islands,Nicobars,2010.0,Banana,593.0,3425.0,5.78
Andaman and Nicobar Islands,Nicobars,2010.0,Tapioca,69.0,575.0,8.33
Andaman and Nicobar Islands,Nicobars,2011.0,Banana,620.5,3720.0,6.0
Andaman and Nicobar Islands,Nicobars,2011.0,Tapioca,64.0,505.0,7.89
Andaman and Nicobar Islands,Nicobars,2012.0,Banana,241.0,2034.0,8.44
Andaman and Nicobar Islands,Nicobars,2012.0,Tapioca,61.0,523.0,8.57
Andaman and Nicobar Islands,Nicobars,2013.0,Banana,170.0,1300.5,7.65
Andaman and Nicobar Islands,Nicobars,2013.0,Tapioca,22.0,195.3,8.88
Andaman and Nicobar Islands,Nicobars,2014.0,Banana,170.5,1570.0,9.21
Andaman and Nicobar Islands,Nicobars,2014.0,Tapioca,46.0,527.3,11.46
Andaman and Nicobar Islands,Nicobars,2015.0,Banana,517.0,1920.0,3.71
Andaman and Nicobar Islands,Nicobars,2015.0,Tapioca,54.5,745.0,13.67
Andaman and Nicobar Islands,Nicobars,2016.0,Banana,679.5,1495.0,2.2
Andaman and Nicobar Islands,Nicobars,2016.0,Tapioca,72.0,297.0,4.13
Andaman and Nicobar Islands,Nicobars,2017.0,Banana,790.0,46.0,0.06
Andaman and Nicobar Islands,Nicobars,2017.0,Tapioca,48.3,416.1,8.61
Andaman and Nicobar Islands,Nicobars,2018.0,Banana,803.57,82.78,0.1
Andaman and Nicobar Islands,Nicobars,2018.0,Tapioca,45.11,304.42,6.75
Andaman and Nicobar Islands,Nicobars,2019.0,Banana,932.38,609.06,0.65
Andaman and Nicobar Islands,Nicobars,2019.0,Tapioca,61.11,474.42,7.76
Andaman and Nicobar Islands,Nicobars,2020.0,Banana,409.83,752.97,1.84
Andaman and Nicobar Islands,Nicobars,2021.0,Banana,416.5,1164.5,2.8
Andaman and Nicobar Islands,Nicobars,2022.0,Banana,400.0,932.0,2.33
Andaman and Nicobar Islands,Nicobars,2022.0,Tapioca,44.5,315.0,7.08
Andaman and Nicobar Islands,North and middle andaman,2000.0,Banana,1531.0,12073.0,7.89
Andaman and Nicobar Islands,North and middle andaman,2000.0,Cashewnut,80.0,54.0,0.68
Andaman and Nicobar Islands,North and middle andaman,2000.0,Ginger,352.0,1120.0,3.18
Andaman and Nicobar Islands,North and middle andaman,2000.0,Sugarcane,141.0,3736.0,26.5
Andaman and Nicobar Islands,North and middle andaman,2000.0,Sweet_potato,78.0,843.0,10.81
Andaman and Nicobar Islands,North and middle andaman,2000.0,Tapioca,160.0,2108.0,13.18
Andaman and Nicobar Islands,North and middle andaman,2000.0,other_oilseeds,133.0,55.0,0.41
Andaman and Nicobar Islands,North and middle andaman,2001.0,Cashewnut,81.0,33.0,0.41
Andaman and Nicobar Islands,North and middle andaman,2001.0,Ginger,344.0,1124.0,3.27
Andaman and Nicobar Islands,North and middle andaman,2001.0,Sugarcane,81.0,2379.0,29.37
Andaman and Nicobar Islands,North and middle andaman,2001.0,Sweet_potato,100.0,5.0,0.05
Andaman and Nicobar Islands,North and middle andaman,2006.0,Arecanut,1160.0,3011.7,2.6
Andaman and Nicobar Islands,North and middle andaman,2006.0,Banana,957.57,8582.0,8.96
Andaman and Nicobar Islands,North and middle andaman,2006.0,Black_pepper,175.0,191.14,1.09
Andaman and Nicobar Islands,North and middle andaman,2006.0,Cashewnut,40.5,44.0,1.09
Andaman and Nicobar Islands,North and middle andaman,2006.0,Dry_chillies,235.72,824.3,3.5
Andaman and Nicobar Islands,North and middle andaman,2006.0,Ginger,98.66,929.0,9.42
Andaman and Nicobar Islands,North and middle andaman,2006.0,Sugarcane,71.3,1500.0,21.04
Andaman and Nicobar Islands,North and middle andaman,2006.0,Sweet_potato,30.0,240.0,8.0
Andaman and Nicobar Islands,North and middle andaman,2006.0,Tapioca,255.0,1420.0,5.57
Andaman and Nicobar Islands,North and middle andaman,2006.0,Turmeric,68.0,408.0,6.0
Andaman and Nicobar Islands,North and middle andaman,2006.0,other_oilseeds,35.62,21.4,0.6
Andaman and Nicobar Islands,North and middle andaman,2010.0,Banana,657.0,7968.0,12.13
Andaman and Nicobar Islands,North and middle andaman,2010.0,Tapioca,186.5,1355.0,7.27
Andaman and Nicobar Islands,North and middle andaman,2011.0,Banana,682.0,9085.0,13.32
Andaman and Nicobar Islands,North and middle andaman,2011.0,Oilseeds_total,71.5,38.5,0.54
Andaman and Nicobar Islands,North and middle andaman,2011.0,Tapioca,181.5,1280.5,7.06
Andaman and Nicobar Islands,North and middle andaman,2012.0,Banana,1055.5,10588.5,10.03
Andaman and Nicobar Islands,North and middle andaman,2012.0,Oilseeds_total,93.4,28.3,0.3
Andaman and Nicobar Islands,North and middle andaman,2012.0,Tapioca,190.0,1446.0,7.61
Andaman and Nicobar Islands,North and middle andaman,2013.0,Banana,1343.5,9263.8,6.9
Andaman and Nicobar Islands,North and middle andaman,2013.0,Oilseeds_total,39.2,13.31,0.34
Andaman and Nicobar Islands,North and middle andaman,2013.0,Tapioca,184.2,3503.8,19.02
Andaman and Nicobar Islands,North and middle andaman,2014.0,Banana,1352.0,10790.0,7.98
Andaman and Nicobar Islands,North and middle andaman,2014.0,Oilseeds_total,34.4,13.8,0.4
Andaman and Nicobar Islands,North and middle andaman,2014.0,Tapioca,137.8,2161.9,15.69
Andaman and Nicobar Islands,North and middle andaman,2015.0,Banana,1178.0,11180.0,9.49
Andaman and Nicobar Islands,North and middle andaman,2015.0,Tapioca,26.5,600.0,22.64
Andaman and Nicobar Islands,North and middle andaman,2016.0,Banana,1012.0,5226.0,5.16
Andaman and Nicobar Islands,North and middle andaman,2016.0,Tapioca,41.0,1010.0,24.63
Andaman and Nicobar Islands,North and middle andaman,2017.0,Banana,584.85,4944.09,8.45
Andaman and Nicobar Islands,North and middle andaman,2017.0,Tapioca,40.9,694.04,16.97
Andaman and Nicobar Islands,North and middle andaman,2018.0,Banana,650.54,6999.44,10.76
Andaman and Nicobar Islands,North and middle andaman,2018.0,Tapioca,32.58,383.85,11.78
Andaman and Nicobar Islands,North and middle andaman,2019.0,Banana,665.12,5904.3,8.88
Andaman and Nicobar Islands,North and middle andaman,2019.0,Tapioca,29.13,213.58,7.33
Andaman and Nicobar Islands,North and middle andaman,2020.0,Banana,935.98,7310.0,7.81
Andaman and Nicobar Islands,North and middle andaman,2021.0,Banana,924.58,5818.57,6.29
Andaman and Nicobar Islands,North and middle andaman,2022.0,Banana,880.0,5663.03,6.44
Andaman and Nicobar Islands,North and middle andaman,2022.0,Tapioca,16.5,138.16,8.37
Andaman and Nicobar Islands,South andamans,2002.0,Arecanut,3105.0,5267.0,1.7
Andaman and Nicobar Islands,South andamans,2002.0,Banana,1524.0,10882.0,7.14
Andaman and Nicobar Islands,South andamans,2002.0,Black_pepper,487.0,102.5,0.21
Andaman and Nicobar Islands,South andamans,2002.0,Cashewnut,81.0,24.0,0.3
Andaman and Nicobar Islands,South andamans,2002.0,Dry_chillies,239.0,20.9,0.09
Andaman and Nicobar Islands,South andamans,2002.0,Ginger,352.0,1145.0,3.25
Andaman and Nicobar Islands,South andamans,2002.0,Sugarcane,455.0,13760.0,30.24
Andaman and Nicobar Islands,South andamans,2002.0,other_oilseeds,85.1,40.31,0.47
Andaman and Nicobar Islands,South andamans,2003.0,Arecanut,3118.0,5182.0,1.66
Andaman and Nicobar Islands,South andamans,2003.0,Banana,1530.0,11558.0,7.55
Andaman and Nicobar Islands,South andamans,2003.0,Black_pepper,497.0,104.37,0.21
Andaman and Nicobar Islands,South andamans,2003.0,Cashewnut,116.5,26.14,0.22
Andaman and Nicobar Islands,South andamans,2003.0,Dry_chillies,340.0,578.0,1.7
Andaman and Nicobar Islands,South andamans,2003.0,Ginger,406.0,1299.2,3.2
Andaman and Nicobar Islands,South andamans,2003.0,Sugarcane,268.0,2879.52,10.74
Andaman and Nicobar Islands,South andamans,2003.0,other_oilseeds,82.09,35.51,0.43
Andaman and Nicobar Islands,South andamans,2004.0,Arecanut,3160.67,3975.2,1.26
Andaman and Nicobar Islands,South andamans,2004.0,Banana,1912.1,17374.4,9.09
Andaman and Nicobar Islands,South andamans,2004.0,Black_pepper,570.0,104.36,0.18
Andaman and Nicobar Islands,South andamans,2004.0,Cashewnut,116.5,25.1,0.22
Andaman and Nicobar Islands,South andamans,2004.0,Dry_chillies,340.0,822.8,2.42
Andaman and Nicobar Islands,South andamans,2004.0,Ginger,410.0,1462.0,3.57
Andaman and Nicobar Islands,South andamans,2004.0,Sugarcane,145.26,1560.0,10.74
Andaman and Nicobar Islands,South andamans,2004.0,other_oilseeds,89.3,46.5,0.52
Andaman and Nicobar Islands,South andamans,2005.0,Arecanut,3250.78,3058.46,0.94
Andaman and Nicobar Islands,South andamans,2005.0,Banana,1656.8,10251.13,6.19
Andaman and Nicobar Islands,South andamans,2005.0,Black_pepper,656.45,35.95,0.05
Andaman and Nicobar Islands,South andamans,2005.0,Cashewnut,118.5,30.22,0.26
Andaman and Nicobar Islands,South andamans,2005.0,Dry_chillies,370.7,877.6,2.37
Andaman and Nicobar Islands,South andamans,2005.0,Ginger,200.0,1800.0,9.0
Andaman and Nicobar Islands,South andamans,2005.0,Sugarcane,128.02,2448.2,19.12
Andaman and Nicobar Islands,South andamans,2005.0,Sweet_potato,131.9,700.35,5.31
Andaman and Nicobar Islands,South andamans,2005.0,Tapioca,254.5,1480.0,5.82
Andaman and Nicobar Islands,South andamans,2005.0,Turmeric,81.7,572.0,7.0
Andaman and Nicobar Islands,South andamans,2005.0,other_oilseeds,53.55,34.2,0.64
Andaman and Nicobar Islands,South andamans,2006.0,Arecanut,2000.0,2350.0,1.18
Andaman and Nicobar Islands,South andamans,2006.0,Banana,483.0,4150.0,8.59
Andaman and Nicobar Islands,South andamans,2006.0,Black_pepper,413.1,20.18,0.05
Andaman and Nicobar Islands,South andamans,2006.0,Cashewnut,79.5,26.0,0.33
Andaman and Nicobar Islands,South andamans,2006.0,Dry_chillies,124.6,34.7,0.28
Andaman and Nicobar Islands,South andamans,2006.0,Ginger,100.9,900.0,8.92
Andaman and Nicobar Islands,South andamans,2006.0,Sugarcane,53.5,999.5,18.68
Andaman and Nicobar Islands,South andamans,2006.0,Sweet_potato,30.4,220.0,7.24
Andaman and Nicobar Islands,South andamans,2006.0,Tapioca,40.0,160.0,4.0
Andaman and Nicobar Islands,South andamans,2006.0,Turmeric,10.0,60.0,6.0
Andaman and Nicobar Islands,South andamans,2006.0,other_oilseeds,24.0,14.98,0.62
Andaman and Nicobar Islands,South andamans,2010.0,Banana,360.0,5517.0,15.33
Andaman and Nicobar Islands,South andamans,2010.0,Tapioca,22.5,220.0,9.78
Andaman and Nicobar Islands,South andamans,2011.0,Banana,378.5,5730.0,15.14
Andaman and Nicobar Islands,South andamans,2011.0,Oilseeds_total,20.0,8.0,0.4
Andaman and Nicobar Islands,South andamans,2011.0,Tapioca,19.5,260.0,13.33
Andaman and Nicobar Islands,South andamans,2012.0,Banana,378.5,5727.5,15.13
Andaman and Nicobar Islands,South andamans,2012.0,Oilseeds_total,15.4,23.6,1.53
Andaman and Nicobar Islands,South andamans,2012.0,Tapioca,19.0,151.0,7.95
Andaman and Nicobar Islands,South andamans,2013.0,Banana,304.0,3478.0,11.44
Andaman and Nicobar Islands,South andamans,2013.0,Oilseeds_total,1.2,0.92,0.77
Andaman and Nicobar Islands,South andamans,2013.0,Tapioca,33.0,547.5,16.59
Andaman and Nicobar Islands,South andamans,2014.0,Banana,318.5,3602.0,11.31
Andaman and Nicobar Islands,South andamans,2014.0,Oilseeds_total,1.6,1.2,0.75
Andaman and Nicobar Islands,South andamans,2014.0,Tapioca,28.5,575.8,20.2
Andaman and Nicobar Islands,South andamans,2015.0,Banana,320.0,4550.0,14.22
Andaman and Nicobar Islands,South andamans,2015.0,Tapioca,26.5,725.0,27.36
Andaman and Nicobar Islands,South andamans,2016.0,Banana,444.6,6623.3,14.9
Andaman and Nicobar Islands,South andamans,2016.0,Tapioca,20.0,762.0,38.1
Andaman and Nicobar Islands,South andamans,2017.0,Banana,440.0,8622.4,19.6
Andaman and Nicobar Islands,South andamans,2017.0,Tapioca,24.0,245.4,10.23
Andaman and Nicobar Islands,South andamans,2018.0,Banana,448.0,9607.9,21.45
Andaman and Nicobar Islands,South andamans,2018.0,Tapioca,12.49,637.31,51.03
Andaman and Nicobar Islands,South andamans,2019.0,Banana,438.7,9602.06,21.89
Andaman and Nicobar Islands,South andamans,2019.0,Tapioca,12.24,473.05,38.65
Andaman and Nicobar Islands,South andamans,2020.0,Banana,410.24,8260.3,20.14
Andaman and Nicobar Islands,South andamans,2021.0,Banana,420.6,10881.0,25.87
Andaman and Nicobar Islands,South andamans,2022.0,Banana,435.5,10803.5,24.81
Andaman and Nicobar Islands,South andamans,2022.0,Tapioca,61.4,749.2,12.2
Andhra Pradesh,Alluri sitharama raju,2022.0,Black_pepper,382.0,235.0,0.62
Andhra Pradesh,Anantapur,1998.0,Sugarcane,700.0,65900.0,94.14
Andhra Pradesh,Anantapur,1998.0,Tobacco,100.0,100.0,1.0
Andhra Pradesh,Anantapur,1999.0,Dry_chillies,5199.0,5759.0,1.11
Andhra Pradesh,Anantapur,1999.0,Onion,1770.0,32364.0,18.28
Andhra Pradesh,Anantapur,1999.0,Sugarcane,884.0,83126.0,94.03
Andhra Pradesh,Anantapur,2000.0,Arecanut,252.0,696.0,2.76
Andhra Pradesh,Anantapur,2000.0,Banana,769.0,11693.0,15.21
Andhra Pradesh,Anantapur,2000.0,Coriander,8953.0,2266.0,0.25
Andhra Pradesh,Anantapur,2000.0,Potato,4.0,34.0,8.5
Andhra Pradesh,Anantapur,2000.0,Sugarcane,284.0,25395.0,89.42
Andhra Pradesh,Anantapur,2000.0,Sweet_potato,28.0,379.0,13.54
Andhra Pradesh,Anantapur,2000.0,Tobacco,89.0,114.0,1.28
Andhra Pradesh,Anantapur,2000.0,Turmeric,39.0,272.0,6.97
Andhra Pradesh,Anantapur,2001.0,Arecanut,257.0,430.0,1.67
Andhra Pradesh,Anantapur,2001.0,Banana,1582.0,462.0,0.29
Andhra Pradesh,Anantapur,2001.0,Coriander,4741.0,1119.0,0.24
Andhra Pradesh,Anantapur,2001.0,Sugarcane,490.0,42470.0,86.67
Andhra Pradesh,Anantapur,2001.0,Sweet_potato,31.0,411.0,13.26
Andhra Pradesh,Anantapur,2001.0,Tobacco,111.0,111.0,1.0
Andhra Pradesh,Anantapur,2001.0,Turmeric,8.0,40.0,5.0
Andhra Pradesh,Anantapur,2002.0,Arecanut,263.0,379.0,1.44
Andhra Pradesh,Anantapur,2002.0,Banana,19.0,1006.0,52.95
Andhra Pradesh,Anantapur,2002.0,Bhindi,126.0,938.0,7.44
Andhra Pradesh,Anantapur,2002.0,Brinjal,1026.0,10162.0,9.9
Andhra Pradesh,Anantapur,2002.0,Citrus_Fruit,788.0,4000.0,5.08
Andhra Pradesh,Anantapur,2002.0,Coriander,3914.0,481.0,0.12
Andhra Pradesh,Anantapur,2002.0,Cucumber,18.0,0.0,0.0
Andhra Pradesh,Anantapur,2002.0,Grapes,111.0,2075.0,18.69
Andhra Pradesh,Anantapur,2002.0,Mango,3968.0,26176.0,6.6
Andhra Pradesh,Anantapur,2002.0,Orange,13767.0,112541.0,8.17
Andhra Pradesh,Anantapur,2002.0,Other_Fresh_Fruits,2418.0,1552.0,0.64
Andhra Pradesh,Anantapur,2002.0,Other_Vegetables,1767.0,0.0,0.0
Andhra Pradesh,Anantapur,2002.0,Papaya,1544.0,201409.0,130.45
Andhra Pradesh,Anantapur,2002.0,Pome_Fruit,1207.0,62789.0,52.02
Andhra Pradesh,Anantapur,2002.0,Potato,2.0,17.0,8.5
Andhra Pradesh,Anantapur,2002.0,Sugarcane,329.0,22481.0,68.33
Andhra Pradesh,Anantapur,2002.0,Sweet_potato,50.0,540.0,10.8
Andhra Pradesh,Anantapur,2002.0,Tobacco,51.0,90.0,1.76
Andhra Pradesh,Anantapur,2002.0,Tomato,3356.0,16627.0,4.95
Andhra Pradesh,Anantapur,2003.0,Arecanut,266.0,189.0,0.71
Andhra Pradesh,Anantapur,2003.0,Banana,36.0,1302.0,36.17
Andhra Pradesh,Anantapur,2003.0,Bhindi,101.0,873.0,8.64
Andhra Pradesh,Anantapur,2003.0,Brinjal,1129.0,19414.0,17.2
Andhra Pradesh,Anantapur,2003.0,Citrus_Fruit,706.0,11959.0,16.94
Andhra Pradesh,Anantapur,2003.0,Coriander,5646.0,610.0,0.11
Andhra Pradesh,Anantapur,2003.0,Cucumber,51.0,0.0,0.0
Andhra Pradesh,Anantapur,2003.0,Grapes,118.0,2048.0,17.36
Andhra Pradesh,Anantapur,2003.0,Mango,3935.0,58337.0,14.83
Andhra Pradesh,Anantapur,2003.0,Orange,13441.0,224640.0,16.71
Andhra Pradesh,Anantapur,2003.0,Other_Fresh_Fruits,3241.0,3586.0,1.11
Andhra Pradesh,Anantapur,2003.0,Other_Vegetables,1783.0,0.0,0.0
Andhra Pradesh,Anantapur,2003.0,Papaya,1381.0,60038.0,43.47
Andhra Pradesh,Anantapur,2003.0,Pome_Fruit,1466.0,83767.0,57.14
Andhra Pradesh,Anantapur,2003.0,Sugarcane,454.0,32386.0,71.33
Andhra Pradesh,Anantapur,2003.0,Sweet_potato,30.0,217.0,7.23
Andhra Pradesh,Anantapur,2003.0,Tobacco,20.0,25.0,1.25
Andhra Pradesh,Anantapur,2003.0,Tomato,2827.0,17509.0,6.19
Andhra Pradesh,Anantapur,2004.0,Banana,324.0,16897.0,52.15
Andhra Pradesh,Anantapur,2004.0,Coriander,2439.0,290.0,0.12
Andhra Pradesh,Anantapur,2004.0,Potato,2.0,20.0,10.0
Andhra Pradesh,Anantapur,2004.0,Sugarcane,400.0,34072.0,85.18
Andhra Pradesh,Anantapur,2004.0,Sweet_potato,33.0,68.0,2.06
Andhra Pradesh,Anantapur,2004.0,Tobacco,49.0,53.0,1.08
Andhra Pradesh,Anantapur,2004.0,Turmeric,4.0,36.0,9.0
Andhra Pradesh,Anantapur,2005.0,Arecanut,268.0,214.0,0.8
Andhra Pradesh,Anantapur,2005.0,Banana,303.0,16231.0,53.57
Andhra Pradesh,Anantapur,2005.0,Coriander,2962.0,900.0,0.3
Andhra Pradesh,Anantapur,2005.0,Sugarcane,227.0,20612.0,90.8
Andhra Pradesh,Anantapur,2005.0,Sunflower,48677.0,8401.0,0.17
Andhra Pradesh,Anantapur,2005.0,Sweet_potato,23.0,121.0,5.26
Andhra Pradesh,Anantapur,2005.0,Tobacco,1.0,1.0,1.0
Andhra Pradesh,Anantapur,2005.0,Turmeric,2.0,15.0,7.5
Andhra Pradesh,Anantapur,2006.0,Arecanut,217.0,150.0,0.69
Andhra Pradesh,Anantapur,2006.0,Banana,289.0,14141.0,48.93
Andhra Pradesh,Anantapur,2006.0,Coriander,1389.0,385.0,0.28
Andhra Pradesh,Anantapur,2006.0,Sugarcane,339.0,30937.0,91.26
Andhra Pradesh,Anantapur,2006.0,Sunflower,60751.0,23561.0,0.39
Andhra Pradesh,Anantapur,2006.0,Sweet_potato,25.0,137.0,5.48
Andhra Pradesh,Anantapur,2006.0,Turmeric,1.0,8.0,8.0
Andhra Pradesh,Anantapur,2008.0,Arecanut,325.0,232.0,0.71
Andhra Pradesh,Anantapur,2008.0,Banana,3603.0,160939.0,44.67
Andhra Pradesh,Anantapur,2008.0,Coriander,3766.0,1288.0,0.34
Andhra Pradesh,Anantapur,2008.0,Sugarcane,131.0,12305.0,93.93
Andhra Pradesh,Anantapur,2008.0,Sunflower,42268.0,26305.0,0.62
Andhra Pradesh,Anantapur,2008.0,Tobacco,99.0,158.0,1.6
Andhra Pradesh,Anantapur,2008.0,Turmeric,4.0,40.0,10.0
Andhra Pradesh,Anantapur,2009.0,Arecanut,356.0,169.0,0.47
Andhra Pradesh,Anantapur,2009.0,Banana,5010.0,265981.0,53.09
Andhra Pradesh,Anantapur,2009.0,Coriander,4470.0,1797.0,0.4
Andhra Pradesh,Anantapur,2009.0,Sugarcane,112.0,9968.0,89.0
Andhra Pradesh,Anantapur,2009.0,Sunflower,55286.0,33503.0,0.61
Andhra Pradesh,Anantapur,2009.0,Sweet_potato,13.0,77.0,5.92
Andhra Pradesh,Anantapur,2009.0,Tobacco,700.0,1179.0,1.68
Andhra Pradesh,Anantapur,2010.0,Arecanut,409.0,182.0,0.44
Andhra Pradesh,Anantapur,2010.0,Banana,4416.0,223825.0,50.69
Andhra Pradesh,Anantapur,2010.0,Coriander,5323.0,3604.0,0.68
Andhra Pradesh,Anantapur,2010.0,Potato,21.0,236.0,11.24
Andhra Pradesh,Anantapur,2010.0,Sugarcane,235.0,20981.0,89.28
Andhra Pradesh,Anantapur,2010.0,Sunflower,17615.0,14072.0,0.8
Andhra Pradesh,Anantapur,2010.0,Sweet_potato,4.0,51.0,12.75
Andhra Pradesh,Anantapur,2010.0,Tobacco,174.0,282.0,1.62
Andhra Pradesh,Anantapur,2010.0,Turmeric,13.0,102.0,7.85
Andhra Pradesh,Anantapur,2011.0,Arecanut,541.0,267.0,0.49
Andhra Pradesh,Anantapur,2011.0,Banana,8000.0,505176.0,63.15
Andhra Pradesh,Anantapur,2011.0,Coriander,2399.0,1327.0,0.55
Andhra Pradesh,Anantapur,2011.0,Potato,18.0,181.0,10.06
Andhra Pradesh,Anantapur,2011.0,Sugarcane,410.0,39186.0,95.58
Andhra Pradesh,Anantapur,2011.0,Sunflower,13277.0,12094.0,0.91
Andhra Pradesh,Anantapur,2011.0,Sweet_potato,2.0,26.0,13.0
Andhra Pradesh,Anantapur,2011.0,Tobacco,140.0,226.0,1.61
Andhra Pradesh,Anantapur,2011.0,Turmeric,321.0,2645.0,8.24
Andhra Pradesh,Anantapur,2013.0,Banana,8661.0,483881.0,55.87
Andhra Pradesh,Anantapur,2013.0,Sugarcane,281.0,26505.0,94.32
Andhra Pradesh,Anantapur,2014.0,Banana,7634.0,423885.0,55.53
Andhra Pradesh,Anantapur,2014.0,Sugarcane,30.0,2456.0,81.87
Andhra Pradesh,Anantapur,2015.0,Banana,8681.0,539507.0,62.15
Andhra Pradesh,Anantapur,2015.0,Sugarcane,77.0,6359.0,82.58
Andhra Pradesh,Anantapur,2016.0,Banana,8389.0,570418.0,68.0
Andhra Pradesh,Anantapur,2016.0,Sugarcane,95.0,9500.0,100.0
Andhra Pradesh,Anantapur,2017.0,Banana,7310.0,919548.0,125.79
Andhra Pradesh,Anantapur,2017.0,Sugarcane,86.0,8981.0,104.43
Andhra Pradesh,Anantapur,2018.0,Banana,8835.0,939960.0,106.39
Andhra Pradesh,Anantapur,2019.0,Banana,15116.0,906960.0,60.0
Andhra Pradesh,Anantapur,2019.0,Black_pepper,5.0,5.0,1.0
Andhra Pradesh,Chittoor,1998.0,Sugarcane,34500.0,3377000.0,97.88
Andhra Pradesh,Chittoor,1999.0,Dry_chillies,3370.0,4968.0,1.47
Andhra Pradesh,Chittoor,1999.0,Onion,548.0,8149.0,14.87
Andhra Pradesh,Chittoor,1999.0,Sugarcane,44929.0,4097998.0,91.21
Andhra Pradesh,Chittoor,1999.0,Tobacco,17.0,17.0,1.0
Andhra Pradesh,Chittoor,2000.0,Banana,953.0,19033.0,19.97
Andhra Pradesh,Chittoor,2000.0,Cashewnut,126.0,27.0,0.21
Andhra Pradesh,Chittoor,2000.0,Coriander,60.0,19.0,0.32
Andhra Pradesh,Chittoor,2000.0,Potato,957.0,8177.0,8.54
Andhra Pradesh,Chittoor,2000.0,Sugarcane,40539.0,3697441.0,91.21
