crop,soil_type,nitrogen_kg_per_hectare,phosphorus_kg_per_hectare,potassium_kg_per_hectare,npk_ratio,primary_fertilizer,primary_fertilizer_kg_per_hectare,organic_manure,organic_manure_kg_per_hectare,secondary_nutrients,micronutrients,application_timing,total_cost_per_hectare,expected_yield_increase_percent,season,recommendation_source
wheat,laterite,156,84,44,156-84-44,NPK 19-19-19,821,Neem Cake,11000,"S: 13, Ca: 144, Mg: 24","Zn: 4, Fe: 11, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,62043,18,rabi,Agricultural University Guidelines
wheat,desert,132,60,36,132-60-36,NPK 19-19-19,694,Neem Cake,12000,"S: 21, Ca: 73, Mg: 22","Zn: 3, Fe: 8, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,80061,39,both,Agricultural University Guidelines
wheat,mountain,144,66,40,144-66-40,CAN,553,FYM,9000,"S: 10, Ca: 131, Mg: 27","Zn: 6, Fe: 6, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,53579,21,both,Agricultural University Guidelines
wheat,coastal,132,60,52,132-60-52,MOP,86,Compost,9000,"S: 15, Ca: 60, Mg: 10","Zn: 4, Fe: 14, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,21909,39,rabi,Agricultural University Guidelines
wheat,hill,132,66,40,132-66-40,MOP,66,Neem Cake,9000,"S: 23, Ca: 99, Mg: 15","Zn: 4, Fe: 9, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,20498,22,perennial,Agricultural University Guidelines
wheat,forest,120,72,40,120-72-40,MOP,66,Compost,6000,"S: 22, Ca: 76, Mg: 11","Zn: 7, Fe: 14, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,30369,37,perennial,Agricultural University Guidelines
maize,alluvial,150,75,60,150-75-60,DAP,833,FYM,10000,"S: 23, Ca: 75, Mg: 17","Zn: 4, Fe: 12, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58269,33,rabi,Agricultural University Guidelines
maize,black_cotton,135,90,66,135-90-66,NPK 20-20-20,675,Compost,11000,"S: 22, Ca: 107, Mg: 12","Zn: 5, Fe: 11, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,66357,16,both,Agricultural University Guidelines
maize,red_yellow,180,97,72,180-97-72,CAN,692,Poultry Manure,13000,"S: 11, Ca: 128, Mg: 29","Zn: 4, Fe: 7, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51422,35,both,Agricultural University Guidelines
maize,laterite,195,105,66,195-105-66,NPK 20-20-20,975,Compost,14000,"S: 18, Ca: 129, Mg: 11","Zn: 4, Fe: 6, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,55134,34,both,Agricultural University Guidelines
maize,desert,165,75,54,165-75-54,CAN,634,Vermicompost,15000,"S: 13, Ca: 62, Mg: 20","Zn: 6, Fe: 14, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,66449,20,kharif,Agricultural University Guidelines
maize,mountain,180,82,60,180-82-60,SSP,512,Vermicompost,12000,"S: 18, Ca: 89, Mg: 10","Zn: 4, Fe: 14, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,63399,38,rabi,Agricultural University Guidelines
maize,coastal,165,75,78,165-75-78,CAN,634,Neem Cake,12000,"S: 22, Ca: 58, Mg: 12","Zn: 5, Fe: 9, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,47289,29,kharif,Agricultural University Guidelines
maize,hill,165,82,60,165-82-60,Urea,358,Vermicompost,12000,"S: 20, Ca: 73, Mg: 10","Zn: 6, Fe: 12, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,67515,33,kharif,Agricultural University Guidelines
maize,forest,150,90,60,150-90-60,Urea,326,FYM,8000,"S: 22, Ca: 115, Mg: 26","Zn: 7, Fe: 5, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,41866,16,rabi,Agricultural University Guidelines
barley,alluvial,91,74,53,91-74-53,MOP,88,Compost,9000,"S: 24, Ca: 109, Mg: 20","Zn: 5, Fe: 5, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,27333,17,rabi,Agricultural University Guidelines
barley,black_cotton,81,88,58,81-88-58,MOP,96,Vermicompost,9000,"S: 20, Ca: 91, Mg: 12","Zn: 6, Fe: 13, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,32093,27,rabi,Agricultural University Guidelines
barley,red_yellow,109,96,63,109-96-63,MOP,105,Compost,11000,"S: 19, Ca: 139, Mg: 17","Zn: 6, Fe: 7, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,57007,24,perennial,Agricultural University Guidelines
barley,laterite,118,103,58,118-103-58,MOP,96,FYM,12000,"S: 24, Ca: 62, Mg: 15","Zn: 4, Fe: 10, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,53179,33,perennial,Agricultural University Guidelines
barley,desert,100,74,47,100-74-47,MOP,78,Vermicompost,13000,"S: 15, Ca: 98, Mg: 13","Zn: 4, Fe: 12, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,34754,36,both,Agricultural University Guidelines
barley,mountain,109,81,53,109-81-53,DAP,605,Vermicompost,10000,"S: 13, Ca: 128, Mg: 27","Zn: 5, Fe: 12, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,60310,21,perennial,Agricultural University Guidelines
barley,coastal,100,74,68,100-74-68,NPK 19-19-19,526,Poultry Manure,10000,"S: 11, Ca: 126, Mg: 10","Zn: 6, Fe: 11, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,38513,35,both,Agricultural University Guidelines
barley,hill,100,81,53,100-81-53,SSP,506,Poultry Manure,10000,"S: 21, Ca: 144, Mg: 26","Zn: 7, Fe: 5, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,43276,32,rabi,Agricultural University Guidelines
barley,forest,91,88,53,91-88-53,DAP,505,Compost,7000,"S: 12, Ca: 97, Mg: 10","Zn: 3, Fe: 5, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,39357,33,both,Agricultural University Guidelines
jowar_sorghum,alluvial,129,54,41,129-54-41,NPK 20-20-20,645,Compost,10000,"S: 10, Ca: 147, Mg: 24","Zn: 7, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,48570,34,perennial,Agricultural University Guidelines
jowar_sorghum,black_cotton,116,64,45,116-64-45,NPK 19-19-19,610,Neem Cake,11000,"S: 18, Ca: 91, Mg: 20","Zn: 6, Fe: 12, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,48644,39,rabi,Agricultural University Guidelines
jowar_sorghum,red_yellow,154,70,49,154-70-49,Urea,334,Poultry Manure,13000,"S: 17, Ca: 141, Mg: 18","Zn: 4, Fe: 13, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,60418,32,kharif,Agricultural University Guidelines
jowar_sorghum,laterite,167,75,45,167-75-45,NPK 20-20-20,835,Poultry Manure,14000,"S: 15, Ca: 50, Mg: 26","Zn: 3, Fe: 13, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,86371,36,perennial,Agricultural University Guidelines
jowar_sorghum,desert,141,54,36,141-54-36,CAN,542,Vermicompost,15000,"S: 19, Ca: 135, Mg: 13","Zn: 5, Fe: 9, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,92405,21,both,Agricultural University Guidelines
jowar_sorghum,mountain,154,59,41,154-59-41,NPK 20-20-20,770,Compost,12000,"S: 21, Ca: 99, Mg: 24","Zn: 5, Fe: 8, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,76694,31,both,Agricultural University Guidelines
jowar_sorghum,coastal,141,54,53,141-54-53,DAP,783,Vermicompost,12000,"S: 20, Ca: 140, Mg: 16","Zn: 4, Fe: 7, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,79466,31,rabi,Agricultural University Guidelines
jowar_sorghum,hill,141,59,41,141-59-41,MOP,68,Vermicompost,12000,"S: 19, Ca: 140, Mg: 22","Zn: 5, Fe: 13, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,36361,17,both,Agricultural University Guidelines
jowar_sorghum,forest,129,64,41,129-64-41,NPK 19-19-19,678,Vermicompost,8000,"S: 13, Ca: 87, Mg: 13","Zn: 4, Fe: 13, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,40293,21,kharif,Agricultural University Guidelines
bajra_pearl_millet,alluvial,124,77,49,124-77-49,NPK 19-19-19,652,Vermicompost,10000,"S: 13, Ca: 112, Mg: 19","Zn: 3, Fe: 12, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,60726,15,perennial,Agricultural University Guidelines
bajra_pearl_millet,black_cotton,111,92,53,111-92-53,SSP,575,Neem Cake,11000,"S: 19, Ca: 148, Mg: 18","Zn: 3, Fe: 6, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,52279,34,perennial,Agricultural University Guidelines
bajra_pearl_millet,red_yellow,148,100,58,148-100-58,SSP,625,Neem Cake,13000,"S: 16, Ca: 141, Mg: 14","Zn: 3, Fe: 6, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,71089,27,kharif,Agricultural University Guidelines
bajra_pearl_millet,laterite,161,107,53,161-107-53,CAN,619,Neem Cake,14000,"S: 14, Ca: 130, Mg: 16","Zn: 4, Fe: 13, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,60437,37,rabi,Agricultural University Guidelines
bajra_pearl_millet,desert,136,77,44,136-77-44,CAN,523,Poultry Manure,15000,"S: 17, Ca: 101, Mg: 23","Zn: 5, Fe: 10, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,81839,39,both,Agricultural University Guidelines
bajra_pearl_millet,mountain,148,84,49,148-84-49,DAP,822,FYM,12000,"S: 16, Ca: 84, Mg: 29","Zn: 4, Fe: 12, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,71602,36,rabi,Agricultural University Guidelines
bajra_pearl_millet,coastal,136,77,63,136-77-63,CAN,523,Compost,12000,"S: 22, Ca: 114, Mg: 22","Zn: 4, Fe: 6, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,63145,37,rabi,Agricultural University Guidelines
bajra_pearl_millet,hill,136,84,49,136-84-49,CAN,523,FYM,12000,"S: 16, Ca: 101, Mg: 26","Zn: 7, Fe: 10, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,64135,39,rabi,Agricultural University Guidelines
bajra_pearl_millet,forest,124,92,49,124-92-49,DAP,688,FYM,8000,"S: 15, Ca: 95, Mg: 25","Zn: 6, Fe: 8, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,48968,31,kharif,Agricultural University Guidelines
ragi_finger_millet,alluvial,109,66,56,109-66-56,NPK 20-20-20,545,Neem Cake,8000,"S: 18, Ca: 130, Mg: 11","Zn: 3, Fe: 8, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,36650,25,perennial,Agricultural University Guidelines
ragi_finger_millet,black_cotton,98,79,61,98-79-61,MOP,101,Compost,8000,"S: 24, Ca: 99, Mg: 10","Zn: 3, Fe: 10, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,37060,38,perennial,Agricultural University Guidelines
ragi_finger_millet,red_yellow,130,85,67,130-85-67,DAP,722,Poultry Manure,10000,"S: 20, Ca: 136, Mg: 11","Zn: 3, Fe: 11, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51337,20,perennial,Agricultural University Guidelines
ragi_finger_millet,laterite,141,92,61,141-92-61,SSP,575,Compost,11000,"S: 16, Ca: 122, Mg: 18","Zn: 3, Fe: 11, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,58344,34,both,Agricultural University Guidelines
ragi_finger_millet,desert,119,66,50,119-66-50,NPK 19-19-19,626,Poultry Manure,12000,"S: 12, Ca: 116, Mg: 18","Zn: 3, Fe: 12, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,60177,20,rabi,Agricultural University Guidelines
ragi_finger_millet,mountain,130,72,56,130-72-56,DAP,722,Poultry Manure,9000,"S: 19, Ca: 98, Mg: 22","Zn: 6, Fe: 5, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51916,37,both,Agricultural University Guidelines
ragi_finger_millet,coastal,119,66,72,119-66-72,SSP,412,Compost,9000,"S: 17, Ca: 123, Mg: 10","Zn: 6, Fe: 13, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,35316,30,kharif,Agricultural University Guidelines
ragi_finger_millet,hill,119,72,56,119-72-56,MOP,93,Poultry Manure,9000,"S: 19, Ca: 149, Mg: 29","Zn: 4, Fe: 6, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46171,39,perennial,Agricultural University Guidelines
ragi_finger_millet,forest,109,79,56,109-79-56,MOP,93,Compost,6000,"S: 15, Ca: 66, Mg: 29","Zn: 3, Fe: 12, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,28647,26,kharif,Agricultural University Guidelines
foxtail_millet,alluvial,117,65,58,117-65-58,NPK 19-19-19,615,FYM,6000,"S: 20, Ca: 137, Mg: 28","Zn: 6, Fe: 11, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46366,27,perennial,Agricultural University Guidelines
foxtail_millet,black_cotton,105,78,63,105-78-63,NPK 19-19-19,552,Neem Cake,6000,"S: 10, Ca: 113, Mg: 28","Zn: 3, Fe: 11, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,37162,28,perennial,Agricultural University Guidelines
foxtail_millet,red_yellow,140,84,69,140-84-69,SSP,525,FYM,7000,"S: 18, Ca: 147, Mg: 18","Zn: 7, Fe: 11, Mn: 3, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,37299,25,kharif,Agricultural University Guidelines
foxtail_millet,laterite,152,91,63,152-91-63,NPK 19-19-19,800,Compost,8000,"S: 19, Ca: 55, Mg: 11","Zn: 5, Fe: 9, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,49487,39,kharif,Agricultural University Guidelines
foxtail_millet,desert,128,65,52,128-65-52,MOP,86,Compost,9000,"S: 11, Ca: 146, Mg: 25","Zn: 6, Fe: 7, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46731,22,rabi,Agricultural University Guidelines
foxtail_millet,mountain,140,71,58,140-71-58,MOP,96,Compost,7000,"S: 11, Ca: 68, Mg: 21","Zn: 5, Fe: 5, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,18322,33,rabi,Agricultural University Guidelines
foxtail_millet,coastal,128,65,75,128-65-75,SSP,406,Neem Cake,7000,"S: 20, Ca: 113, Mg: 17","Zn: 7, Fe: 6, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,36552,18,rabi,Agricultural University Guidelines
foxtail_millet,hill,128,71,58,128-71-58,CAN,492,Poultry Manure,7000,"S: 24, Ca: 113, Mg: 26","Zn: 4, Fe: 11, Mn: 3, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,48094,17,kharif,Agricultural University Guidelines
foxtail_millet,forest,117,78,58,117-78-58,MOP,96,Poultry Manure,4000,"S: 14, Ca: 88, Mg: 25","Zn: 5, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,11997,38,both,Agricultural University Guidelines
proso_millet,alluvial,104,46,56,104-46-56,MOP,93,Compost,11000,"S: 16, Ca: 63, Mg: 29","Zn: 4, Fe: 10, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,55960,37,kharif,Agricultural University Guidelines
proso_millet,black_cotton,93,55,61,93-55-61,NPK 20-20-20,465,Neem Cake,12000,"S: 20, Ca: 129, Mg: 14","Zn: 7, Fe: 5, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,65120,17,kharif,Agricultural University Guidelines
proso_millet,red_yellow,124,59,67,124-59-67,Urea,269,Vermicompost,14000,"S: 24, Ca: 141, Mg: 19","Zn: 6, Fe: 5, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,43273,21,kharif,Agricultural University Guidelines
proso_millet,laterite,135,64,61,135-64-61,CAN,519,FYM,15000,"S: 19, Ca: 113, Mg: 14","Zn: 4, Fe: 8, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,62554,23,rabi,Agricultural University Guidelines
proso_millet,desert,114,46,50,114-46-50,CAN,438,Poultry Manure,16000,"S: 24, Ca: 104, Mg: 18","Zn: 6, Fe: 6, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,75850,28,both,Agricultural University Guidelines
proso_millet,mountain,124,50,56,124-50-56,NPK 19-19-19,652,Neem Cake,13000,"S: 11, Ca: 76, Mg: 14","Zn: 3, Fe: 9, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46360,31,both,Agricultural University Guidelines
proso_millet,coastal,114,46,72,114-46-72,Urea,247,Vermicompost,13000,"S: 11, Ca: 85, Mg: 22","Zn: 5, Fe: 14, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,36529,20,both,Agricultural University Guidelines
proso_millet,hill,114,50,56,114-50-56,NPK 19-19-19,600,Compost,13000,"S: 14, Ca: 96, Mg: 15","Zn: 3, Fe: 10, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,82910,34,kharif,Agricultural University Guidelines
proso_millet,forest,104,55,56,104-55-56,SSP,343,Poultry Manure,8000,"S: 14, Ca: 110, Mg: 19","Zn: 6, Fe: 8, Mn: 7, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,28668,36,rabi,Agricultural University Guidelines
barnyard_millet,alluvial,100,71,53,100-71-53,NPK 20-20-20,500,Vermicompost,10000,"S: 19, Ca: 129, Mg: 23","Zn: 3, Fe: 8, Mn: 6, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,52260,39,kharif,Agricultural University Guidelines
barnyard_millet,black_cotton,90,85,58,90-85-58,NPK 19-19-19,473,Vermicompost,11000,"S: 23, Ca: 90, Mg: 20","Zn: 3, Fe: 6, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51307,32,perennial,Agricultural University Guidelines
barnyard_millet,red_yellow,120,92,63,120-92-63,NPK 19-19-19,631,Vermicompost,13000,"S: 20, Ca: 51, Mg: 15","Zn: 6, Fe: 14, Mn: 4, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,79062,21,perennial,Agricultural University Guidelines
barnyard_millet,laterite,130,99,58,130-99-58,NPK 20-20-20,650,Compost,14000,"S: 21, Ca: 94, Mg: 17","Zn: 6, Fe: 8, Mn: 6, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,70619,31,rabi,Agricultural University Guidelines
barnyard_millet,desert,110,71,47,110-71-47,NPK 19-19-19,578,Neem Cake,15000,"S: 20, Ca: 112, Mg: 12","Zn: 4, Fe: 13, Mn: 4, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,52129,18,kharif,Agricultural University Guidelines
barnyard_millet,mountain,120,78,53,120-78-53,MOP,88,Poultry Manure,12000,"S: 22, Ca: 95, Mg: 16","Zn: 6, Fe: 13, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,46859,26,both,Agricultural University Guidelines
barnyard_millet,coastal,110,71,68,110-71-68,MOP,113,Vermicompost,12000,"S: 11, Ca: 142, Mg: 26","Zn: 4, Fe: 9, Mn: 5, B: 1",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51334,17,kharif,Agricultural University Guidelines
barnyard_millet,hill,110,78,53,110-78-53,CAN,423,Neem Cake,12000,"S: 12, Ca: 79, Mg: 28","Zn: 5, Fe: 12, Mn: 5, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,40752,37,both,Agricultural University Guidelines
barnyard_millet,forest,100,85,53,100-85-53,DAP,555,Vermicompost,8000,"S: 24, Ca: 118, Mg: 23","Zn: 3, Fe: 11, Mn: 7, B: 2",Basal: 50% N + 100% P&K; Top dressing: 25% N at 30 DAS + 25% N at 60 DAS,51939,21,kharif,Agricultural University Guidelines
