State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Chattisgarh,Mungeli,Munguli,Paddy(Dhan)(Common),"Basmati 1509",FAQ,03/09/2025,1761,1761,1761
Gujarat,Ahmedabad,Ahmedabad,"Bhindi(Ladies Finger)",Other,FAQ,03/09/2025,1500,5000,4000
Gujarat,Ahmedabad,Ahmedabad,"Bitter gourd",Other,FAQ,03/09/2025,2000,3500,2500
Gujarat,Ahmedabad,Ahmedabad,Cauliflower,Other,FAQ,03/09/2025,1500,3500,2450
Gujarat,Ahmedabad,Ahmedabad,Cucumbar(Kheera),Other,FAQ,03/09/2025,1500,5000,4250
Gujarat,Ahmedabad,Ahmedabad,"Pointed gourd (Parval)",Other,FAQ,03/09/2025,3500,4500,4000
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,Other,FAQ,03/09/2025,400,600,550
Gujarat,Ahmedabad,Ahmedabad,Tinda,Other,FAQ,03/09/2025,4000,8000,7250
Gujarat,Ahmedabad,Viramgam,Wheat,Other,Non-FAQ,03/09/2025,2615,2725,2670
Gujarat,Amreli,Amreli,"Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,03/09/2025,1560,2750,1675
Gujarat,Amreli,Amreli,"Corriander seed","Coriander Seed",FAQ,03/09/2025,5000,7000,6665
Gujarat,Amreli,Amreli,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,03/09/2025,12650,17875,17000
Gujarat,Amreli,Amreli,"Groundnut (Split)",Groundnut(Split),FAQ,03/09/2025,4575,5500,4865
Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,03/09/2025,5050,10950,9345
Gujarat,Amreli,Amreli,Soyabean,Soyabeen,FAQ,03/09/2025,3075,4240,4190
Gujarat,Amreli,Bagasara,"Green Gram (Moong)(Whole)",Other,Non-FAQ,03/09/2025,6000,6025,6012
Gujarat,Amreli,Dhari,"Sesamum(Sesame,Gingelly,Til)",Black,FAQ,03/09/2025,15655,15655,15655
Gujarat,Amreli,Savarkundla,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,03/09/2025,1680,2420,2150
Gujarat,Amreli,Savarkundla,Cotton,"Narma BT Cotton",FAQ,03/09/2025,7250,7850,7625
Gujarat,Amreli,Savarkundla,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,03/09/2025,7500,9755,8250
Gujarat,Amreli,Savarkundla,Wheat,Lokwan,FAQ,03/09/2025,2250,3000,2750
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Bottle gourd","Bottle Gourd",FAQ,03/09/2025,2500,3500,3000
Gujarat,Anand,"Anand(Veg,Yard,Anand)","Green Chilli","Green Chilly",FAQ,03/09/2025,750,1250,1000
Gujarat,Anand,Borsad,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,03/09/2025,2400,2750,2575
Gujarat,Anand,"Khambhat(Grain Market)",Wheat,Other,FAQ,03/09/2025,2350,2750,2500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Brinjal,Other,FAQ,03/09/2025,3000,4000,3500
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Drumstick,Other,FAQ,03/09/2025,6000,8000,7000
Gujarat,Anand,"Khambhat(Veg Yard Khambhat)",Tinda,Other,FAQ,03/09/2025,5000,5500,5000
Gujarat,Anand,Umreth,"Bajra(Pearl Millet/Cumbu)",Deshi,Non-FAQ,03/09/2025,2450,2500,2500
Gujarat,Banaskanth,Deesa,"Castor Seed",Other,FAQ,03/09/2025,6460,6466.25,6465
Gujarat,Banaskanth,Dhanera,"Castor Seed",Other,FAQ,03/09/2025,6400,6530,6470
Gujarat,Banaskanth,Dhanera,Mustard,Mustard,FAQ,03/09/2025,6240,6535,6370
Gujarat,Banaskanth,Dhanera,Wheat,Other,FAQ,03/09/2025,2675,2825,2750
Gujarat,Banaskanth,Lakhani,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,03/09/2025,1905,2825,2365
Gujarat,Banaskanth,Lakhani,Mustard,Mustard,FAQ,03/09/2025,6275,6500,6387
Gujarat,Bharuch,Ankleshwar,"Bitter gourd","Bitter Gourd",FAQ,03/09/2025,2000,2500,2200
Gujarat,Bharuch,Ankleshwar,Brinjal,Brinjal,FAQ,03/09/2025,2000,5000,4000
Gujarat,Bharuch,Ankleshwar,Cabbage,Cabbage,FAQ,03/09/2025,1000,1500,1200
Gujarat,Bharuch,Ankleshwar,Potato,Potato,FAQ,03/09/2025,1000,2000,1400
Gujarat,Bharuch,Bharuch,"Bhindi(Ladies Finger)",Other,FAQ,03/09/2025,1500,2200,2000
Gujarat,Bharuch,Bharuch,Capsicum,Other,FAQ,03/09/2025,2500,3500,3000
Gujarat,Bharuch,Bharuch,Garlic,Average,FAQ,03/09/2025,5000,7000,6000
Gujarat,Bharuch,Bharuch,Guar,Other,FAQ,03/09/2025,1500,2000,1700
Gujarat,Bharuch,Bharuch,Lemon,Other,FAQ,03/09/2025,2000,3000,2500
Gujarat,Bharuch,Bharuch,"Water Melon",Other,Medium,03/09/2025,800,1000,900
Gujarat,Bharuch,Jambusar(Kaavi),"Bajra(Pearl Millet/Cumbu)",Other,FAQ,03/09/2025,2300,2700,2500
Gujarat,Bhavnagar,"Mahuva(Station Road)","Bajra(Pearl Millet/Cumbu)",Hybrid,FAQ,03/09/2025,1670,3175,2750
Gujarat,Bhavnagar,"Mahuva(Station Road)","Green Gram (Moong)(Whole)",Hybrid,FAQ,03/09/2025,10375,10375,10375
Gujarat,Bhavnagar,"Mahuva(Station Road)",Onion,White,FAQ,03/09/2025,515,1730,1125
Gujarat,Bhavnagar,Taleja,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,03/09/2025,6050,6050,6050
Gujarat,Bhavnagar,Taleja,Jowar(Sorghum),Local,FAQ,03/09/2025,2460,2820,2640
Gujarat,Bhavnagar,Taleja,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,03/09/2025,7000,9865,8435
Gujarat,Botad,Botad,"Bajra(Pearl Millet/Cumbu)",Other,Non-FAQ,03/09/2025,2225,2730,2500
Gujarat,Botad,Botad,"Green Gram (Moong)(Whole)",Other,Non-FAQ,03/09/2025,6500,7675,7050
Gujarat,Botad,Botad,Mustard,Other,Non-FAQ,03/09/2025,7425,7425,7425
Gujarat,Dahod,Zalod(Sanjeli),Maize,Other,FAQ,03/09/2025,2000,2250,2250
Gujarat,Dahod,Zalod(Zalod),"Bengal Gram(Gram)(Whole)",Other,FAQ,03/09/2025,4500,5500,5000
Gujarat,Dahod,Zalod(Zalod),Paddy(Dhan)(Common),Other,FAQ,03/09/2025,1500,1750,1625
Gujarat,"Devbhumi Dwarka","Jam Khambalia","Cummin Seed(Jeera)",Other,FAQ,03/09/2025,15500,18100,17950
Gujarat,"Devbhumi Dwarka","Jam Khambalia","Green Gram (Moong)(Whole)",Other,Non-FAQ,03/09/2025,6500,7950,7775
Gujarat,Gandhinagar,Dehgam,Paddy(Dhan)(Common),Other,FAQ,03/09/2025,1900,2100,2000
Gujarat,Gandhinagar,Dehgam,Wheat,Other,FAQ,03/09/2025,2670,2715,2692
Gujarat,Gandhinagar,Mansa,Jowar(Sorghum),White,FAQ,03/09/2025,3000,3950,3575
Gujarat,Jamnagar,Dhrol,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,03/09/2025,2025,2175,2100
Gujarat,Jamnagar,Dhrol,"Bengal Gram(Gram)(Whole)",Other,FAQ,03/09/2025,4850,5450,5150
Gujarat,Jamnagar,Dhrol,"Cummin Seed(Jeera)",Other,FAQ,03/09/2025,11500,17550,14525
Gujarat,Jamnagar,"Jam Jodhpur","Bajra(Pearl Millet/Cumbu)",Local,FAQ,03/09/2025,1505,2500,1905
Gujarat,Jamnagar,"Jam Jodhpur","Castor Seed","Castor seed",FAQ,03/09/2025,6050,6305,6205
Gujarat,Jamnagar,"Jam Jodhpur","Corriander seed","Coriander Seed",FAQ,03/09/2025,6255,7305,7055
Gujarat,Jamnagar,Jamnagar,"Arhar (Tur/Red Gram)(Whole)",Other,FAQ,03/09/2025,5000,5800,5800
Gujarat,Jamnagar,Jamnagar,"Castor Seed",Other,FAQ,03/09/2025,5500,6255,6050
Gujarat,Jamnagar,Jamnagar,"Cummin Seed(Jeera)",Other,FAQ,03/09/2025,12500,18250,15725
Gujarat,Jamnagar,Jamnagar,Mustard,Other,FAQ,03/09/2025,5500,6325,6175
Gujarat,Kheda,Kapadvanj,"Bhindi(Ladies Finger)",Other,FAQ,03/09/2025,2000,2250,2100
Gujarat,Kheda,Kapadvanj,Brinjal,Other,FAQ,03/09/2025,2000,2500,2200
Gujarat,Kheda,Nadiad,Tomato,Other,FAQ,03/09/2025,2200,2600,2400
Gujarat,Kheda,Nadiyad(Chaklasi),"Bhindi(Ladies Finger)",Bhindi,FAQ,03/09/2025,1100,1300,1250
Gujarat,Kheda,Nadiyad(Chaklasi),Brinjal,Brinjal,FAQ,03/09/2025,1200,1600,1400
Gujarat,Kheda,Nadiyad(Chaklasi),Coriander(Leaves),Coriander,FAQ,03/09/2025,1300,1500,1400
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,Non-FAQ,03/09/2025,900,1100,1000
Gujarat,Kheda,Nadiyad(Piplag),Brinjal,Brinjal,FAQ,03/09/2025,1200,1400,1300
Gujarat,Kheda,Nadiyad(Piplag),Cauliflower,Cauliflower,FAQ,03/09/2025,1800,2200,1900
Gujarat,Kheda,Nadiyad(Piplag),Cowpea(Veg),"Cowpea (Veg)",FAQ,03/09/2025,2400,2500,2450
Gujarat,Kheda,Nadiyad(Piplag),"Peas cod","Peas cod",FAQ,03/09/2025,8800,9000,8900
Gujarat,Mehsana,Kadi,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,03/09/2025,2400,2675,2625
Gujarat,Mehsana,Unjha,Mustard,Sarson(Black),FAQ,03/09/2025,6250,6250,6250
Gujarat,Mehsana,Unjha,Soanf,Soanf,FAQ,03/09/2025,5800,13500,8250
Gujarat,Mehsana,Unjha,"Suva (Dill Seed)","Suva (Dill Seed)",FAQ,03/09/2025,6955,7505,7300
Gujarat,Mehsana,Vijapur,"Castor Seed",Other,FAQ,03/09/2025,6505,6565,6525
Gujarat,Mehsana,Visnagar,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,03/09/2025,1750,2615,2182
Gujarat,Morbi,Halvad,Groundnut,Other,FAQ,03/09/2025,4750,6375,5750
Gujarat,Morbi,Morbi,"Bengal Gram(Gram)(Whole)","Desi (Whole)",FAQ,03/09/2025,4380,5650,5015
Gujarat,Morbi,Morbi,"Bitter gourd",Other,FAQ,03/09/2025,300,400,350
Gujarat,Morbi,Morbi,Guar,Gwar,FAQ,03/09/2025,2500,3500,3000
Gujarat,Morbi,Morbi,Lemon,Lemon,FAQ,03/09/2025,500,2500,1500
Gujarat,Morbi,Morbi,Wheat,Local,FAQ,03/09/2025,2625,2755,2690
Gujarat,Morbi,Vankaner,Jowar(Sorghum),Other,FAQ,03/09/2025,3800,4005,3900
Gujarat,Morbi,Vankaner,Soanf,Soanf,FAQ,03/09/2025,6000,7630,6800
Gujarat,Panchmahals,Godhra(Kakanpur),Maize,Other,Non-FAQ,03/09/2025,2160,2240,2205
Gujarat,Patan,Harij,"Cummin Seed(Jeera)",Other,FAQ,03/09/2025,16375,18250,17310
Gujarat,Patan,Radhanpur,"Castor Seed",Caster,FAQ,03/09/2025,6355,6525,6450
Gujarat,Patan,Radhanpur,Wheat,"Medium Fine",FAQ,03/09/2025,2475,2675,2600
Gujarat,Patan,Siddhpur,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,03/09/2025,1500,2855,2177
Gujarat,Patan,Siddhpur,"Barley (Jau)",Deshi,FAQ,03/09/2025,2480,2480,2480
Gujarat,Porbandar,Porbandar,Beans,"Beans (Whole)",FAQ,03/09/2025,5375,6050,5710
Gujarat,Porbandar,Porbandar,"Bhindi(Ladies Finger)",Bhindi,FAQ,03/09/2025,2500,3000,2750
Gujarat,Porbandar,Porbandar,Cabbage,Cabbage,FAQ,03/09/2025,1000,1500,1250
Gujarat,Porbandar,Porbandar,Cauliflower,"African Sarson",FAQ,03/09/2025,3000,4000,3500
Gujarat,Porbandar,Porbandar,Coriander(Leaves),Coriander,FAQ,03/09/2025,1500,2000,1750
Gujarat,Porbandar,Porbandar,"Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,03/09/2025,14000,17250,15625
Gujarat,Porbandar,Porbandar,Onion,Other,FAQ,03/09/2025,750,1250,1000
Gujarat,Porbandar,Porbandar,Potato,"(Red Nanital)",FAQ,03/09/2025,1000,1500,1250
Gujarat,Porbandar,Porbandar,"Sesamum(Sesame,Gingelly,Til)",White,Non-FAQ,03/09/2025,8450,8450,8450
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Apple,Apple,Medium,03/09/2025,2000,8000,5000
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Lemon,Other,FAQ,03/09/2025,1000,4500,2750
Gujarat,Rajkot,Jetpur(Dist.Rajkot),"Corriander seed","Full Green",FAQ,03/09/2025,5105,7280,7105
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Groundnut,Other,FAQ,03/09/2025,3505,5555,5305
Gujarat,Rajkot,Jetpur(Dist.Rajkot),Wheat,Other,FAQ,03/09/2025,2600,2840,2700
Gujarat,Rajkot,Rajkot,"Arhar (Tur/Red Gram)(Whole)","Arhar (Whole)",FAQ,03/09/2025,5050,6500,5800
Gujarat,Rajkot,Rajkot,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,03/09/2025,2045,2230,2105
Gujarat,Rajkot,Rajkot,"Corriander seed","A-1, Green",FAQ,03/09/2025,6750,7400,7000
Gujarat,Rajkot,Rajkot,"Corriander seed","Coriander Seed",FAQ,03/09/2025,6850,7350,7150
Gujarat,Rajkot,Rajkot,Cotton,"Narma BT Cotton",FAQ,03/09/2025,7000,7890,7600
Gujarat,Rajkot,Rajkot,"Green Gram (Moong)(Whole)","Green (Whole)",FAQ,03/09/2025,6500,8625,8000
Gujarat,Rajkot,Rajkot,Groundnut,Bold,FAQ,03/09/2025,4500,5690,5005
Gujarat,Rajkot,Rajkot,Groundnut,G20,FAQ,03/09/2025,3640,5200,4500
Gujarat,Rajkot,Rajkot,Wheat,Lokwan,FAQ,03/09/2025,2640,2850,2680
Gujarat,Rajkot,"Rajkot(Veg.Sub Yard)",Coriander(Leaves),Coriander,FAQ,03/09/2025,500,2950,1750
Gujarat,Sabarkantha,Himatnagar,"Castor Seed","Castor seed",FAQ,03/09/2025,6455,6490,6490
Gujarat,Sabarkantha,Modasa(Tintoi),"Bajra(Pearl Millet/Cumbu)",Hybrid,Non-FAQ,03/09/2025,2400,2700,2700
Gujarat,Sabarkantha,Talod,"Castor Seed",Caster,FAQ,03/09/2025,6390,6495,6442
Gujarat,Surat,Surat,Cabbage,Other,FAQ,03/09/2025,600,1400,1000
Gujarat,Surat,Surat,Drumstick,Other,FAQ,03/09/2025,5000,7300,6150
Gujarat,Surat,Surat,"Peas cod",Other,FAQ,03/09/2025,6500,12000,9250
Gujarat,Surat,Surat,"Sponge gourd",Other,FAQ,03/09/2025,2000,4000,3000
Gujarat,Surat,Vyra,"Black Gram (Urd Beans)(Whole)",Other,Non-FAQ,03/09/2025,5000,6000,5500
Gujarat,Surendranagar,"Dasada Patadi",Ajwan,Ajwan,FAQ,03/09/2025,7000,8500,7750
Gujarat,Surendranagar,"Dasada Patadi","Castor Seed","Castor seed",FAQ,03/09/2025,6350,6375,6360
Gujarat,Surendranagar,"Dasada Patadi","Cummin Seed(Jeera)","Cummin Seed(Jeera)",FAQ,03/09/2025,16500,17830,17250
Gujarat,Surendranagar,Dhragradhra,"Green Gram (Moong)(Whole)","Green (Whole)",Non-FAQ,03/09/2025,5000,5000,5000
Gujarat,Surendranagar,Dhragradhra,"Sesamum(Sesame,Gingelly,Til)",White,FAQ,03/09/2025,6500,9100,8500
Gujarat,Surendranagar,Dhragradhra,Soanf,Soanf,FAQ,03/09/2025,5125,7060,6500
Gujarat,Surendranagar,Dhragradhra,Wheat,Wheat,FAQ,03/09/2025,2655,2655,2655
Gujarat,Vadodara(Baroda),Padra,Cabbage,Other,FAQ,03/09/2025,1400,1500,1450
Gujarat,Vadodara(Baroda),Padra,Colacasia,Other,FAQ,03/09/2025,2500,3500,3000
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,03/09/2025,4000,4500,4250
Gujarat,Vadodara(Baroda),Padra,Onion,Other,FAQ,03/09/2025,1500,2000,1750
Gujarat,Vadodara(Baroda),Padra,Ridgeguard(Tori),Other,FAQ,03/09/2025,3000,3500,3250
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,03/09/2025,2000,2500,2250
Haryana,Ambala,Naraingarh,"Bhindi(Ladies Finger)",Bhindi,FAQ,03/09/2025,1000,2200,2000
Haryana,Ambala,Naraingarh,Coriander(Leaves),Coriander,FAQ,03/09/2025,1200,9000,4000
Haryana,Ambala,Shahzadpur,"Sponge gourd",Other,FAQ,03/09/2025,1500,1500,1500
Haryana,Ambala,Shahzadpur,Tomato,Local,FAQ,03/09/2025,3000,3000,3000
Haryana,Faridabad,Ballabhgarh,Cauliflower,Other,FAQ,03/09/2025,3000,5000,4000
Haryana,Faridabad,Ballabhgarh,Cucumbar(Kheera),Other,FAQ,03/09/2025,2000,3000,2500
Haryana,Faridabad,Ballabhgarh,Onion,Other,FAQ,03/09/2025,1500,2000,1500
Haryana,Faridabad,Faridabad,Apple,Apple,Large,03/09/2025,4000,8000,6000
Haryana,Faridabad,Faridabad,"Bottle gourd",Other,FAQ,03/09/2025,1200,2500,1850
Haryana,Fatehabad,Fatehabad,Apple,Other,Medium,03/09/2025,7000,7000,7000
Haryana,Fatehabad,Fatehabad,Pomegranate,Other,Medium,03/09/2025,12000,12000,12000
Haryana,Fatehabad,Fatehabad,Potato,Other,FAQ,03/09/2025,1000,1000,1000
Haryana,Fatehabad,Jakhal,"Bottle gourd","Bottle Gourd",FAQ,03/09/2025,1000,2000,2000
Haryana,Fatehabad,Jakhal,Brinjal,Other,FAQ,03/09/2025,2000,2000,2000
Haryana,Fatehabad,Tohana,Onion,"1st Sort",FAQ,03/09/2025,2000,2500,2500
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,03/09/2025,5000,10000,7500
Haryana,Gurgaon,Gurgaon,Banana,Other,Large,03/09/2025,2000,3000,2500
Haryana,Gurgaon,Gurgaon,"Bitter gourd",Other,FAQ,03/09/2025,1500,2500,2000
Haryana,Gurgaon,Gurgaon,Guava,Other,Large,03/09/2025,2000,4000,3000
Haryana,Gurgaon,Sohna,Brinjal,Brinjal,FAQ,03/09/2025,1800,2500,2200
Haryana,Gurgaon,Sohna,Ginger(Green),"Green Ginger",FAQ,03/09/2025,4000,5000,5000
Haryana,Hissar,Barwala(Hisar),Apple,Other,Medium,03/09/2025,2000,7000,6500
Haryana,Hissar,Barwala(Hisar),Brinjal,Other,FAQ,03/09/2025,2000,2500,2400
Haryana,Hissar,Barwala(Hisar),Cauliflower,Other,FAQ,03/09/2025,4000,5000,4500
Haryana,Hissar,Barwala(Hisar),"Onion Green",Other,FAQ,03/09/2025,3000,3500,3200
Haryana,Hissar,Barwala(Hisar),Ridgeguard(Tori),Other,FAQ,03/09/2025,3000,3500,3500
Haryana,Hissar,Hansi,Cabbage,Other,FAQ,03/09/2025,2000,2500,2300
Haryana,Hissar,Hansi,Chikoos(Sapota),Other,Medium,03/09/2025,5000,7000,6000
Haryana,Hissar,Hansi,Pomegranate,Other,Medium,03/09/2025,8000,14000,10000
Haryana,Hissar,Hansi,Raddish,Other,FAQ,03/09/2025,2000,3000,2500
Haryana,Hissar,Uklana,Onion,Onion,FAQ,03/09/2025,1400,1500,1500
Haryana,Hissar,Uklana,Tomato,Other,FAQ,03/09/2025,3500,4000,4000
Haryana,Jind,Safidon,Apple,Other,Medium,03/09/2025,5000,5000,5000
Haryana,Kaithal,Cheeka,Potato,Other,Non-FAQ,03/09/2025,800,800,800
Haryana,Kaithal,Pundri,Onion,Other,FAQ,03/09/2025,1800,1900,1850
Haryana,Karnal,Indri,Tomato,Other,FAQ,03/09/2025,3200,3200,3200
Haryana,Karnal,"New Grain Market(main), Karnal",Brinjal,Other,FAQ,03/09/2025,2000,3000,2500
Haryana,Karnal,"New Grain Market(main), Karnal",Ginger(Green),"Green Ginger",FAQ,03/09/2025,5000,5000,5000
Haryana,Karnal,"New Grain Market(main), Karnal",Grapes,Annabesahai,Large,03/09/2025,14000,18000,16000
Haryana,Karnal,"New Grain Market(main), Karnal",Onion,Other,Non-FAQ,03/09/2025,1100,1400,1250
Haryana,Karnal,"New Grain Market(main), Karnal",Potato,Other,FAQ,03/09/2025,1000,1000,1000
Haryana,Karnal,Tarori,Banana,Other,Medium,03/09/2025,1800,2200,2000
Haryana,Kurukshetra,Ladwa,Ginger(Dry),Other,FAQ,03/09/2025,5000,5000,5000
Haryana,Kurukshetra,Ladwa,Pomegranate,Pomogranate,Medium,03/09/2025,9000,10000,9000
Haryana,Kurukshetra,Shahabad,Banana,"Banana - Ripe",Medium,03/09/2025,2400,2700,2500
Haryana,Kurukshetra,Shahabad,"Bitter gourd","Bitter Gourd",FAQ,03/09/2025,3200,3200,3200
Haryana,Kurukshetra,Shahabad,Cauliflower,Cauliflower,FAQ,03/09/2025,3000,6000,4000
Haryana,Kurukshetra,Shahabad,"Green Chilli","Green Chilly",FAQ,03/09/2025,3000,4500,4000
Haryana,Kurukshetra,Shahabad,"Mousambi(Sweet Lime)",Mousambi,Medium,03/09/2025,2500,3200,3000
Haryana,Kurukshetra,Shahabad,Onion,Onion,Non-FAQ,03/09/2025,2000,2000,2000
Haryana,Kurukshetra,Thanesar,Banana,Other,Medium,03/09/2025,2500,3500,3000
Haryana,Kurukshetra,Thanesar,Cucumbar(Kheera),Cucumbar,FAQ,03/09/2025,2000,4000,3000
Haryana,Kurukshetra,Thanesar,Garlic,Average,FAQ,03/09/2025,7000,9000,8000
Haryana,Kurukshetra,Thanesar,"Green Chilli","Green Chilly",FAQ,03/09/2025,2500,4500,3500
Haryana,Kurukshetra,Thanesar,Guava,Guava,Medium,03/09/2025,1500,7000,4500
Haryana,Kurukshetra,Thanesar,Lemon,Lemon,FAQ,03/09/2025,3000,5000,4000
Haryana,Kurukshetra,Thanesar,Pumpkin,Pumpkin,FAQ,03/09/2025,600,1000,800
Haryana,Kurukshetra,Thanesar,Raddish,Raddish,FAQ,03/09/2025,1500,2500,2000
Haryana,Mahendragarh-Narnaul,Narnaul,"Bitter gourd","Bitter Gourd",FAQ,03/09/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Brinjal,Brinjal,FAQ,03/09/2025,2000,2500,2500
Haryana,Mahendragarh-Narnaul,Narnaul,Cucumbar(Kheera),Cucumbar,FAQ,03/09/2025,1500,3000,2500
Haryana,Mahendragarh-Narnaul,Narnaul,"Mousambi(Sweet Lime)",Mousambi,Medium,03/09/2025,3000,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,Potato,Potato,Non-FAQ,03/09/2025,1000,1000,1000
Haryana,Mahendragarh-Narnaul,Narnaul,"Sponge gourd","Sponge gourd",FAQ,03/09/2025,2500,3000,3000
Haryana,Mahendragarh-Narnaul,Narnaul,"Tender Coconut","Tender Coconut",Medium,03/09/2025,5000,6000,6000
Haryana,Mewat,Hathin,Cotton,American,FAQ,03/09/2025,6600,7000,7000
Haryana,Mewat,Tauru,Tinda,Tinda,FAQ,03/09/2025,6000,6000,6000
Haryana,Palwal,Hassanpur,Cucumbar(Kheera),Cucumbar,FAQ,03/09/2025,1600,1600,1600
Haryana,Panchkula,Panchkul(Kalka),Apple,Apple,Large,03/09/2025,8500,9500,9000
Haryana,Panchkula,"Raipur Rai",Brinjal,Other,FAQ,03/09/2025,1500,1600,1500
Haryana,Panchkula,"Raipur Rai",Capsicum,Capsicum,FAQ,03/09/2025,2000,2200,2000
Haryana,Panipat,Panipat,Apple,Other,Medium,03/09/2025,2000,10000,6000
Haryana,Panipat,Panipat,Onion,Other,FAQ,03/09/2025,600,1800,1200
Haryana,Panipat,Panipat,Pomegranate,Pomogranate,Medium,03/09/2025,2500,7500,5000
Haryana,Panipat,Samalkha,"Bhindi(Ladies Finger)",Bhindi,FAQ,03/09/2025,2000,2000,2000
Haryana,Panipat,Samalkha,Cauliflower,Cauliflower,FAQ,03/09/2025,1500,2000,1700
Haryana,Panipat,Samalkha,"Green Chilli","Green Chilly",FAQ,03/09/2025,5000,5000,5000
Haryana,Rewari,Kosli,Banana,Other,Medium,03/09/2025,2000,2000,2000
Haryana,Rewari,Kosli,Brinjal,Other,FAQ,03/09/2025,1000,1000,1000
